"Filtro: ","Cod. Empresa = 2-FZP","","","","",""
"Nota","","","Valor","Valor","Qte.","Preço"
"Fiscal","","Cliente","Venda","Comiss.","Venda","Médio"
"----------","","------------","-----------","-------","---------","----------"
"NFE**8125","","VOLVER","10.564,95","316,95","5.055,000","2,0900"
"NFE**8126","","F.A DE ALMEI","3.795,00","113,85","2.200,000","1,7250"
"Filtro: ","Cod. Empresa = 2-FZP","","","","",""
"NFE**8130","","ESTAMPARIA","9.186,00","459,30","4.400,000","2,0877"
"NFE**8133","","ARIBERTO","3.450,00","103,50","3.000,000","1,1500"
"NFE**8134","","GLEISSON","1.800,00","90,00","1.000,000","1,8000"
"NFE**8136","","ORG. BR","4.700,00","141,00","2.500,000","1,8800"
"NFE**8137","","RIO OCEANO","2.068,00","62,04","1.100,000","1,8800"
"NFE**8138","","VENTURY","6.751,00","270,04","4.300,000","1,5700"
"NFE**8145","","ELTON ROCHA","4.830,00","144,90","2.800,000","1,7250"
"NFE**8164","","RVN MALHARIA","2.046,94","61,41","337,500","6,0650"
"NFE**8166","","CONTRA REGRA","5.424,00","162,72","4.800,000","1,1300"
"NFE**8167","","PIONEIRA IND","9.066,30","362,65","7.050,000","1,2860"
"NFE**8168","","PIONEIRA IND","40.184,82","1607,39","8.290,000","4,8474"
"NFE**8171","","PRANCHA BAM","6.059,85","181,80","3.414,000","1,7750"
"NFE**8172","","LS COSTA","9.330,00","279,90","4.500,000","2,0733"
"NFE**8174","","BEACH","10.350,00","310,50","5.000,000","2,0700"
"NFE**8176","","FIOS E TRAMA","1.629,00","48,87","18.000,00","0,0905"
"NFE**8178","","EVANDRO BARB","1.910,00","57,30","112.000,0","0,0171"
"NFE**8179","","ARMAZEM FILI","4.567,00","137,01","2.000,000","2,2835"
"NFE**8180","","ATO IND.","1.336,00","40,08","1.000,000","1,3360"
"NFE**8198","","PLASTICOS CO","6.000,00","0,00","250.000,0","0,0240"
"NFE**8200","","PRO SURF","2.940,00","0,00","1.200,000","2,4500"
"NFE**8202","","FLAVIO A","6.360,00","190,80","3.000,000","2,1200"
"NFE**8204","","SAO PEDRO C","752,50","22,57","500,000","1,5050"
"NFE**8209","","FORTE IND","7.717,50","294,00","3.000,000","2,5725"
